target_id	length	eff_length	est_counts	tpm
HPOL_001566-RA	375	170.355	66	48.9902
HPOL_005474-RA	1689	1365.38	115	10.6504
HPOL_005471-RA	3405	3099.84	113	4.60958
HPOL_005472-RA	522	280.878	46	20.7091
HPOL_005473-RA	1596	1369.89	428	39.5074
HPOL_004371-RA	3111	2685.55	414	19.4934
HPOL_004372-RA	288	102.528	229	282.432
HPOL_000242-RA	873	601.057	149	31.3467
HPOL_000243-RA	1122	958.32	2338	308.5
HPOL_000244-RA	891	662.659	164	31.295
HPOL_003977-RA	462	253.896	22	10.9569
HPOL_000245-RA	3786	3193.41	135	5.34565
HPOL_000246-RA	363	160.292	56	44.1771
HPOL_000247-RA	1696	1334.64	568.895	53.9001
HPOL_000248-RA	306	115.538	14	15.3224
HPOL_000249-RA	663	388.289	159	51.7801
HPOL_000250-RA	675	531.146	256	60.9463
HPOL_000251-RA	438	216.49	0	0
HPOL_001178-RA	1635	1326.96	29	2.76352
HPOL_001179-RA	1065	749.093	386	65.1587
HPOL_001180-RA	2196	1803.96	326	22.8513
HPOL_003978-RA	483	267.489	139	65.7097
HPOL_005475-RA	1281	907.249	24	3.34508
HPOL_005476-RA	1554	1380.46	372	34.0754
HPOL_005477-RA	756	647.211	2532	494.697
HPOL_005478-RA	1026	861.979	1257	184.4
HPOL_002624-RA	1104	808.329	69	10.794
HPOL_002625-RA	1116	828.406	515	78.6113
HPOL_002626-RA	786	536.004	45	10.6161
HPOL_002627-RA	792	589.698	1639	351.455
HPOL_002628-RA	873	614.4	60	12.3487
HPOL_004455-RA	1374	1119	467	52.7725
HPOL_003979-RA	2244	2030.71	1317	82.0087
HPOL_004456-RA	2271	1891.31	1996	133.45
HPOL_001167-RA	1776	1468.84	401	34.5216
HPOL_001168-RA	684	452.123	199	55.6567
HPOL_001169-RA	2484	2267.26	324	18.0703
HPOL_001170-RA	966	709.6	676	120.463
HPOL_001171-RA	3717	3204.36	1583	62.4684
HPOL_005479-RA	546	260.812	73	35.3929
HPOL_005480-RA	342	143.226	35	30.9007
HPOL_005484-RA	738	464.592	67	18.2358
HPOL_005485-RA	435	219.928	32	18.3989
HPOL_003130-RA	240	71.0685	60	106.757
HPOL_005486-RA	2157	1709.81	72	5.32483
HPOL_005487-RA	873	585.818	55	11.8719
HPOL_004806-RA	3159	2833.69	63	2.81132
HPOL_004807-RA	705	425.756	12	3.56403
HPOL_004808-RA	933	665.254	7	1.33055
HPOL_001401-RA	108	16.748	8	60.4015
HPOL_001402-RA	966	664.543	83	15.7934
HPOL_001403-RA	291	104.7	111	134.06
HPOL_001404-RA	870	615.245	270	55.4928
HPOL_004493-RA	1407	1055.57	135	16.1721
HPOL_003131-RA	1395	1145.18	203	22.4153
HPOL_004494-RA	1506	1198.57	174	18.3573
HPOL_002629-RA	132	21.762	193	1121.45
HPOL_002630-RA	1173	883.694	105	15.0248
HPOL_002631-RA	588	376.773	9	3.02054
HPOL_002632-RA	1674	1468.1	1012	87.166
HPOL_002633-RA	1155	855.461	323	47.7445
HPOL_002634-RA	630	410.096	730	225.091
HPOL_004417-RA	207	52.5456	810	1949.26
HPOL_004418-RA	687	453.225	485	135.316
HPOL_004419-RA	906	615.468	92	18.9018
HPOL_003132-RA	588	321.817	90	35.3635
